proy.id,predio,localidad,rodal,conglomerado,huso,datum,x.utm,y.utm,parc,cuadrante,narb,esp,dens,dap,htot,hcc,dw.bark,dwe.tr.nobark,dw.stem,dw.branches,dw.leaves,dw.total,gw.bark,gw.stem,gw.branches,gw.leaves,gw.total,coef.redu.bark,coef.redu.stem,coef.redu.branches,coef.redu.leaves,coef.redu.total,p.dw.bark,p.dw.stem,p.dw.branches,p.dw.leaves,p.dw.total,wd
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,30,ec,,21.4,15.4,7.7,,,128.0122727,17.59491513,5.681446294,151.2886341,,,,,,,,,,,,84.61460006,11.63003106,3.755368886,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,31,ec,,15.5,14.73,9.7,,,115.4363524,8.228217846,1.4158306,125.0804009,,,,,,,,,,,,92.28972055,6.57834304,1.131936411,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,67,ec,,23.3,15.02,10.9,,,194.1108412,13.37648,7.17972,214.6670412,,,,,,,,,,,,90.42414714,6.231268631,3.344584227,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,29,ec,,5.2,10.14,5.1,,,10.12051805,0.839211334,1.550796889,12.51052627,,,,,,,,,,,,80.8960217,6.708041822,12.39593647,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,32,ec,,8.2,12.17,7.3,,,23.13818722,4.555948048,2.090072242,29.78420751,,,,,,,,,,,,77.68609325,15.29652265,7.017384098,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,46,ec,,27,17.6,11.7,,,345.9618596,37.3431926,17.54754615,400.8525984,,,,,,,,,,,,86.30650295,9.31594126,4.377555795,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,94,ec,,13.4,14.54,10.4,,,53.89450561,3.948399774,2.980669828,60.82357521,,,,,,,,,,,,88.60792122,6.491561472,4.900517304,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,20,ec,,13.8,13.99,8.6,,,82.13008917,10.96288394,5.096366996,98.1893401,,,,,,,,,,,,83.64460855,11.16504493,5.190346519,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,103,ec,,26.6,16.3,8,,,236.3372282,26.50526206,14.53957282,277.3820631,,,,,,,,,,,,85.20277972,9.555506857,5.241713419,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,104,ec,,26.4,15.8,9.45,,,255.6358601,23.18367398,16.27719592,295.09673,,,,,,,,,,,,86.62781864,7.856296471,5.515884885,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,11,ec,,51,20.66,8,,,1173.081093,221.5294202,69.21075372,1463.821267,,,,,,,,,,,,80.13827367,15.1336386,4.728087731,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,26,ec,,31.6,18.94,10.55,,,441.7944214,63.11999621,23.9461427,528.8605604,,,,,,,,,,,,83.53703312,11.93509234,4.527874547,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,36,ec,,16.7,12.1,4.5,,,62.81539388,14.07031011,7.584057997,84.46976199,,,,,,,,,,,,74.36435525,16.65721529,8.978429462,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,11,ec,,7.5,10.24,6,,,12.91153608,1.769427448,0.915921721,15.59688525,,,,,,,,,,,,82.78278563,11.34474877,5.872465598,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,19,ec,,8.5,12.25,7.9,,,19.32843668,1.761479856,1.223802294,22.31371883,,,,,,,,,,,,86.62131502,7.894156366,5.484528613,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,41,ec,,9.8,13.5,6.1,,,25.52911265,5.483629394,2.536087058,33.5488291,,,,,,,,,,,,76.09539091,16.34521842,7.559390673,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,42,ec,,23.1,19.75,9.35,,,265.2035968,34.37120924,15.93553679,315.5103428,,,,,,,,,,,,84.05543679,10.89384549,5.05071772,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,47,ec,,17,16.92,6.8,,,127.6705047,22.55440541,9.99592698,160.2208371,,,,,,,,,,,,79.68408293,14.07707376,6.238843312,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,62,ga,,26.5,15.8,7.6,,,186.1718865,25.7800211,8.283781593,220.2356892,,,,,,,,,,,,84.53302332,11.70565098,3.761325707,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,20,ga,,21.6,16.5,9.2,,,149.2841508,34.29877453,4.33349093,187.9164163,,,,,,,,,,,,79.44178257,18.2521438,2.306073634,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,24,ga,,20.3,16.66,8.7,,,93.96041128,30.74928821,2.289955197,126.9996547,,,,,,,,,,,,73.98477697,24.2121038,1.803119231,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,52,ga,,9.9,12.4,6.5,,,21.41151351,3.982204095,0.847332925,26.24105053,,,,,,,,,,,,81.59548904,15.17547512,3.229035834,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,53,ga,,24,18.02,9,,,148.7241707,31.43702515,3.696376391,183.8575722,,,,,,,,,,,,80.89096842,17.09857515,2.010456435,100,
54,buenaventura,,,,18,WGS84,658342,5590953.5,,,75,ga,,18.9,12.03,5,,,62.93873723,9.977574235,1.315186343,74.23149781,,,,,,,,,,,,84.78710398,13.44115979,1.771736233,100,
